 Net Income to Total Assets, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, ROA(C) before interest and depreciation before interest, Debt ratio %, Net worth/Assets, Persistent EPS in the Last Four Seasons, Net profit before tax/Paid-in capital, Per Share Net profit before tax (Yuan ¥), Working Capital to Total Assets, Net Income to Stockholder's Equity, Borrowing dependency, Liability to Equity, Net Value Per Share (B), Net Value Per Share (C), Working Capital/Equity, Operating Profit Per Share (Yuan ¥), Operating profit/Paid-in capital, Total expense/Assets, Tax rate (A), Cash/Total Assets, Operating Gross Margin
-2.25431697090356,-2.045797776379817,-2.400361004332964,-2.2179093472520144,1.7508450138266205,-1.7508450138266232,-1.79410560084612,-1.4604945953516182,-1.3751499620835452,-2.393729120714277,-0.8616109931848219,0.9597844263411239,0.6801706582279883,-1.2792473500227672,-1.2761466133220607,-1.245333759230822,-0.4713714715230644,-0.4712747632660581,1.3140269485786504,-0.829388169244788,-0.8618201186129829,-0.3833337036882002
-0.30903349088175425,-0.3110678609773047,-0.5984496916581329,-0.6738281923245729,1.0757267270928283,-1.0757267270928317,-0.5973786426619759,-0.44679301503098634,-0.43531171333035423,-1.0671325325549315,-0.02980393081545661,0.12930484148888058,0.2406850179809706,-0.25187752402220787,-0.251549855715993,-0.3289527486349685,-0.5500580364996753,-0.5483617590315766,-0.1351260975884634,-0.829388169244788,-0.7838734655931986,0.13506792299939108
-0.8205095831466013,-0.9084197810799847,-1.3199095997720325,-1.303671910047318,1.7497235548785548,-1.749723554878559,-1.4501531971874675,-1.126595307295303,-1.2525623644200794,0.26040179225162685,-0.24982031997022996,0.27255965121361353,0.6792468795932478,-0.3818764086389982,0.09082154240298138,0.5919338142456008,-0.5996014292627282,-0.5996553873926606,-0.28720420195370844,-0.829388169244788,-0.8841086362349374,-0.38375932078725744
-1.6912221724000873,-1.6362087685764368,-1.5563398347202075,-1.735886093892775,0.7101311100243478,-0.7101311100243691,-1.0550343202573347,-1.1420286566332052,-1.0777615307147905,-1.4965433072618248,-0.3928639001047785,0.3124594807678384,0.09376461500504468,-1.0924528362044836,-1.089856293757321,-0.5131052222072104,-1.1212642118854568,-1.1249021418101648,-0.18503218292104903,-0.829388169244788,-0.7558435359165767,-1.4414178120177146
-0.31600767260487683,-0.30774462359148247,-0.5080498959426545,-0.6617776109905837,-0.12367361786032935,0.12367361786030825,-0.48936053242206695,-0.49554280103480985,-0.48071452727978814,-1.0550828357331505,-0.029564438206177133,0.022790838668575956,-0.1280143191198305,-0.6936213067005901,-0.6921012871191022,-0.3268672691703655,-0.4363996648667888,-0.4337571379505222,-0.1031007353504411,-0.829388169244788,-0.7895237895955928,-0.5412376474493681
-2.4136269172200215,-2.186204555931074,-2.1830538030938365,-1.9198583022582172,1.2473099461464223,-1.2473099461464257,-1.6349210173346715,-1.4582898311604937,-1.372879821386083,-2.1574321408098545,-0.7205271597828806,0.41718794904702733,0.3265034778768026,-1.0508027081233817,-1.0483185873678877,-0.9090290605758957,-1.1096069430000328,-1.1114192452123914,0.40187161398978505,-0.829388169244788,-0.8722278780953838,-1.049850080857967
-1.7640087635865271,-1.7209513219150696,-1.9066390431176694,-1.8829031861673367,1.908970725503464,-1.9089707255034678,-2.024354730568007,-1.7794504816680472,-1.6702682527548378,-1.4345233569958393,-0.7177170894096417,0.6352291862839233,0.8393606364329901,-0.9536190759341424,-0.9513972724592082,-0.6068019189721092,-0.32856992767661597,-0.3279457103027988,2.343489473250177,-0.829388169244788,-0.7261253365854209,0.7087997725682884
0.1882052216573496,0.18741774689697602,0.08911029306246401,0.052420176070023784,-0.09227276731456638,0.09227276731456328,-0.10845456473400397,-0.10382969641118256,-0.11749201568434481,-0.2899226986395228,0.07281464880404195,-0.02672340764572282,-0.1215480854326055,-0.40964316069306694,-0.4088896526456831,-0.07451426213877886,-0.15371089439527108,-0.15090941584510068,-0.13636776300613884,0.30727764430697574,-0.7862564926485766,-0.36673463682379986
-0.10198384218919825,-0.20555507397724496,-0.1673122043997151,-0.2745522641253223,-1.0124298342000733,1.0124298342000697,-0.3131204578201353,-0.3429241242489922,-0.33769566333909756,-0.006564722068030851,0.005823688412977037,-0.2702428492967328,-0.27261757060851716,-0.1938197697273289,-0.19364881044586413,-0.054334309272759146,-0.49760032651526903,-0.4956025984316022,0.02578433452550735,-0.7870460901272532,0.15149813807789775,-0.25607419106129925
-0.08841138735226016,-0.11748928325278826,-0.1725275772294469,-0.15645656705230976,0.15052309494103563,-0.15052309494103977,-0.3301759489106485,-0.22925628150643476,-0.23326919125539247,0.19594726959777398,0.019702730723750717,-0.008936736639630417,-0.0675995069079907,-0.395759784666033,-0.39504375051587204,0.11678513907682757,0.026976773328813347,0.03228211401590829,0.24706286469076824,2.000960809008381,-0.8282207761849613,-0.5161262386032718
