const, Retained Earnings to Total Assets, Current Liability to Assets, Working Capital to Total Assets, Net Income to Stockholder's Equity, Current Liability to Current Assets, Working Capital/Equity, Liability-Assets Flag, Total expense/Assets, CFO to Assets, Tax rate (A), Cash/Total Assets
1.0,-1.2325935013357425,1.1262670615796633,-2.393729120714277,-0.8616109931848219,2.8124930541394173,-1.245333759230822,-0.034272008223089546,1.3140269485786504,-1.2472308363600322,-0.829388169244788,-0.8618201186129829
1.0,-0.14347417042041144,-0.670362602363922,-1.0671325325549315,-0.02980393081545661,0.527484947992848,-0.3289527486349685,-0.034272008223089546,-0.1351260975884634,-0.44937602191664044,-0.829388169244788,-0.7838734655931986
1.0,-0.9713267533516147,0.1489329992151133,0.26040179225162685,-0.24982031997022996,-0.19972088055536627,0.5919338142456008,-0.034272008223089546,-0.28720420195370844,-0.9379791369619604,-0.829388169244788,-0.8841086362349374
1.0,-1.088733954685408,0.15992142637732173,-1.4965433072618248,-0.3928639001047785,1.1588988073266697,-0.5131052222072104,-0.034272008223089546,-0.18503218292104903,0.1825589748611369,-0.829388169244788,-0.7558435359165767
1.0,-0.8169264177115947,0.3882191007292552,-1.0550828357331505,-0.029564438206177133,0.5258667281172673,-0.3268672691703655,-0.034272008223089546,-0.1031007353504411,-0.25524485177533685,-0.829388169244788,-0.7895237895955928
1.0,-1.2397721869194862,0.9610855773350274,-2.1574321408098545,-0.7205271597828806,2.2052599178578753,-0.9090290605758957,-0.034272008223089546,0.40187161398978505,0.4914084195494994,-0.829388169244788,-0.8722278780953838
1.0,-0.9111583625093265,0.5020787542038276,-1.4345233569958393,-0.7177170894096417,0.9486529491099478,-0.6068019189721092,-0.034272008223089546,2.343489473250177,-0.5594976299180888,-0.829388169244788,-0.7261253365854209
1.0,0.02803166371147252,-0.07220660287092119,-0.2899226986395228,0.07281464880404195,-0.04232031305225877,-0.07451426213877886,-0.034272008223089546,-0.13636776300613884,0.2847812786180452,0.30727764430697574,-0.7862564926485766
1.0,0.01828686381886479,-0.6485494276442184,-0.006564722068030851,0.005823688412977037,-0.3176113344810811,-0.054334309272759146,-0.034272008223089546,0.02578433452550735,-0.3310030754953142,-0.7870460901272532,0.15149813807789775
1.0,0.13915555623499215,0.07736736226224529,0.19594726959777398,0.019702730723750717,-0.19492836445444844,0.11678513907682757,-0.034272008223089546,0.24706286469076824,0.8834444602580279,2.000960809008381,-0.8282207761849613
